room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
14816898,1360,92278018,Shared room,,Frankfurt,,Bahnhofsviertel,51,4.5,10,1.0,,80.0,,2017-06-22 15:39:57.993776,50.108833,8.668395,0101000020E6100000AE9E93DE37562140DFDC5F3DEE0D4940
15294143,1360,62507234,Shared room,,Frankfurt,,Westend-Süd,27,4.5,2,1.0,,52.0,,2017-06-22 15:39:56.482515,50.120212,8.657187,0101000020E610000074B680D07A5021401B4B581B630F4940
6751387,1360,17826701,Shared room,,Frankfurt,,Rödelheim,0,0.0,2,1.0,,35.0,,2017-06-22 15:39:54.515975,50.128278,8.59603,0101000020E6100000A9DE1AD82A312140ED65DB696B104940
15637480,1360,85072001,Shared room,,Frankfurt,,Oberrad,0,0.0,6,1.0,,346.0,,2017-06-22 15:39:52.319758,50.099801,8.722627,0101000020E6100000C669882AFC712140D68D7747C60C4940
18244045,1360,68408403,Shared room,,Frankfurt,,Innenstadt,0,0.0,2,1.0,,149.0,,2017-06-22 15:39:47.234792,50.115677,8.694514,0101000020E6100000713AC956976321401FF30181CE0E4940
14585557,1360,90385579,Shared room,,Frankfurt,,Innenstadt,7,4.0,3,1.0,,126.0,,2017-06-22 15:39:45.417812,50.116392,8.686585,0101000020E61000002BD9B111885F21400DC2DCEEE50E4940
8997689,1360,46995036,Shared room,,Frankfurt,,Innenstadt,21,4.5,2,1.0,,109.0,,2017-06-22 15:39:43.950295,50.116308,8.679903,0101000020E610000092E7FA3E1C5C2140AF21382EE30E4940
16657666,1360,37693952,Shared room,,Frankfurt,,Bockenheim,2,0.0,2,1.0,,92.0,,2017-06-22 15:39:42.384225,50.116646,8.63459,0101000020E6100000BEBC00FBE8442140C89A9141EE0E4940
1618810,1360,1625282,Shared room,,Frankfurt,,Ginnheim,4,4.5,2,1.0,,79.0,,2017-06-22 15:39:40.394722,50.143173,8.649623,0101000020E61000007575C7629B4C2140C9552C7E53124940
8824384,1360,46222461,Shared room,,Frankfurt,,Ostend,5,5.0,2,1.0,,75.0,,2017-06-22 15:39:40.391973,50.118689,8.697288,0101000020E610000058C9C7EE026521408EB27E33310F4940
14849386,1360,90385579,Shared room,,Frankfurt,,Innenstadt,31,4.5,3,1.0,,79.0,,2017-06-22 15:39:40.385744,50.114359,8.685874,0101000020E6100000795A7EE02A5F21406B80D250A30E4940
6313891,1360,32255405,Shared room,,Frankfurt,,Nordend-West,3,5.0,2,1.0,,42.0,,2017-06-22 15:39:39.559663,50.129388,8.692504,0101000020E6100000C8B260E28F622140573F36C98F104940
2044449,1360,6408620,Shared room,,Frankfurt,,Ostend,0,0.0,2,1.0,,50.0,,2017-06-22 15:39:39.554293,50.111037,8.713029,0101000020E6100000FD321823126D2140AFD2DD75360E4940
14210311,1360,22379728,Shared room,,Frankfurt,,Gallus,1,0.0,1,1.0,,52.0,,2017-06-22 15:39:39.527280,50.108913,8.656414,0101000020E6100000E945ED7E15502140FC8D76DCF00D4940
4097036,1360,21250796,Shared room,,Frankfurt,,Gallus,15,5.0,2,1.0,,60.0,,2017-06-22 15:39:39.524340,50.10713,8.626485,0101000020E61000007FDE54A4C2402140D235936FB60D4940
4442277,1360,5412979,Shared room,,Frankfurt,,Ostend,16,4.0,2,1.0,,57.0,,2017-06-22 15:39:39.522041,50.112099,8.698551,0101000020E61000001B2D077AA865214008759142590E4940
17839483,1360,26583074,Shared room,,Frankfurt,,Gallus,1,0.0,2,1.0,,58.0,,2017-06-22 15:39:39.519534,50.108006,8.643211,0101000020E6100000DCDAC2F352492140CAE2FE23D30D4940
19175364,1360,93789384,Shared room,,Frankfurt,,Nordend-West,0,0.0,4,1.0,,52.0,,2017-06-22 15:39:39.512880,50.120552,8.679143,0101000020E61000005A9D9CA1B85B2140D4BB783F6E0F4940
10482564,1360,54032316,Shared room,,Frankfurt,,Bockenheim,0,0.0,1,1.0,,57.0,,2017-06-22 15:39:39.510370,50.126787,8.638108,0101000020E6100000C7A17E17B64621406B47718E3A104940
11382573,1360,9781735,Shared room,,Frankfurt,,Bahnhofsviertel,37,5.0,1,1.0,,52.0,,2017-06-22 15:39:39.508017,50.109651,8.667427,0101000020E61000004EEFE2FDB8552140A27C410B090E4940
17589417,1360,119500413,Shared room,,Frankfurt,,Bockenheim,2,0.0,1,1.0,,58.0,,2017-06-22 15:39:39.505470,50.123658,8.637729,0101000020E6100000EC6B5D6A84462140C3F17C06D40F4940
14865890,1360,92278018,Shared room,,Frankfurt,,Bahnhofsviertel,4,4.0,10,1.0,,40.0,,2017-06-22 15:39:37.153090,50.108213,8.671866,0101000020E6100000B39602D2FE572140430070ECD90D4940
14865612,1360,92278018,Shared room,,Frankfurt,,Bahnhofsviertel,5,4.0,10,1.0,,40.0,,2017-06-22 15:39:37.150739,50.109051,8.671179,0101000020E610000023861DC6A45721404D4C1762F50D4940
14865853,1360,92278018,Shared room,,Frankfurt,,Bahnhofsviertel,7,4.5,10,1.0,,40.0,,2017-06-22 15:39:37.148499,50.10927,8.670148,0101000020E6100000A9F57EA31D5721408B37328FFC0D4940
14865814,1360,92278018,Shared room,,Frankfurt,,Bahnhofsviertel,17,4.5,10,1.0,,40.0,,2017-06-22 15:39:37.145751,50.108991,8.669489,0101000020E610000041102043C75621407847C66AF30D4940
14866191,1360,92278018,Shared room,,Frankfurt,,Bahnhofsviertel,13,4.5,10,1.0,,40.0,,2017-06-22 15:39:37.142887,50.107951,8.670057,0101000020E610000068E90AB61157214006499F56D10D4940
14931041,1360,92278018,Shared room,,Frankfurt,,Bahnhofsviertel,5,5.0,10,1.0,,40.0,,2017-06-22 15:39:37.136754,50.108178,8.669775,0101000020E6100000575BB1BFEC562140C712D6C6D80D4940
14782602,1360,92278018,Shared room,,Frankfurt,,Bahnhofsviertel,14,5.0,9,1.0,,40.0,,2017-06-22 15:39:37.117538,50.108337,8.671952,0101000020E6100000ADF6B0170A5821402FF99FFCDD0D4940
14865349,1360,92278018,Shared room,,Frankfurt,,Bahnhofsviertel,7,5.0,10,1.0,,40.0,,2017-06-22 15:39:37.115048,50.107551,8.670312,0101000020E6100000923B6C223357214078D32D3BC40D4940
11509989,1360,26477733,Shared room,,Frankfurt,,Nordend-West,4,3.5,2,1.0,,40.0,,2017-06-22 15:39:34.647796,50.123678,8.69003,0101000020E61000008C84B69C4B6121400A9E42AED40F4940
14865762,1360,92278018,Shared room,,Frankfurt,,Bahnhofsviertel,15,5.0,10,1.0,,40.0,,2017-06-22 15:39:34.644876,50.109076,8.670334,0101000020E610000032CB9E0436572140A663CE33F60D4940
6346151,1360,32601604,Shared room,,Frankfurt,,Bergen-Enkheim,15,4.0,1,1.0,,22.0,,2017-06-22 15:39:34.642366,50.157018,8.751409,0101000020E610000013D731AEB88021401171732A19144940
8991630,1360,41996486,Shared room,,Frankfurt,,Bornheim,19,4.5,2,1.0,,27.0,,2017-06-22 15:39:34.635840,50.123454,8.701787,0101000020E610000012842BA050672140BB473657CD0F4940
18896169,1360,113603763,Shared room,,Frankfurt,,Westend-Nord,1,0.0,1,1.0,,35.0,,2017-06-22 15:39:34.628904,50.121899,8.675243,0101000020E6100000B3B45373B95921402235ED629A0F4940
2236739,1360,9031144,Shared room,,Frankfurt,,Gallus,26,4.0,1,1.0,,15.0,,2017-06-22 15:39:34.625442,50.105815,8.649055,0101000020E61000004E9CDCEF504C21408F368E588B0D4940
17221534,1360,15955719,Shared room,,Frankfurt,,Bornheim,7,5.0,1,1.0,,21.0,,2017-06-22 15:39:34.622067,50.125482,8.715567,0101000020E610000094313ECC5E6E21404B1E4FCB0F104940
17725529,1360,113428713,Shared room,,Frankfurt,,Kalbach-Riedberg,0,0.0,3,1.0,,41.0,,2017-06-22 15:39:34.589139,50.177174,8.621991,0101000020E61000000BD0B69A753E2140CBD93BA3AD164940
11900996,1360,63476626,Shared room,,Frankfurt,,Hausen,22,4.5,1,1.0,,19.0,,2017-06-22 15:39:34.586236,50.13519,8.619261,0101000020E610000063601DC70F3D2140855FEAE74D114940
9591613,1360,49645061,Shared room,,Frankfurt,,Ostend,0,0.0,1,1.0,,23.0,,2017-06-22 15:39:34.584049,50.116915,8.71345,0101000020E610000093A98251496D2140B7B41A12F70E4940
9396657,1360,48736841,Shared room,,Frankfurt,,Gallus,1,0.0,1,1.0,,30.0,,2017-06-22 15:39:34.581735,50.107109,8.626028,0101000020E6100000B5C2F4BD86402140BB0D6ABFB50D4940
16928993,1360,55408468,Shared room,,Frankfurt,,Bornheim,0,0.0,1,1.0,,23.0,,2017-06-22 15:39:34.579505,50.131108,8.709846,0101000020E6100000916456EF706B21403A1F9E25C8104940
17983504,1360,66722839,Shared room,,Frankfurt,,Gallus,4,4.5,3,1.0,,11.0,,2017-06-22 15:39:34.577178,50.108357,8.639824,0101000020E61000004E64E6029747214076A565A4DE0D4940
11258827,1360,58759671,Shared room,,Frankfurt,,Nordend-Ost,0,0.0,1,1.0,,35.0,,2017-06-22 15:39:34.574048,50.129274,8.69354,0101000020E610000089EFC4AC176321408F1CE90C8C104940
19337369,1360,50442454,Shared room,,Frankfurt,,Gallus,0,0.0,4,1.0,,23.0,,2017-06-22 15:39:32.096522,50.103525,8.635132,0101000020E61000004149810530452140C1A8A44E400D4940
17800342,1360,121634717,Shared room,,Frankfurt,,Gallus,0,0.0,2,1.0,,33.0,,2017-06-22 15:39:32.093684,50.108701,8.624759,0101000020E610000069C36169E03F2140710514EAE90D4940
14868407,1360,92278018,Shared room,,Frankfurt,,Bahnhofsviertel,16,4.5,5,1.0,,40.0,,2017-06-22 15:39:32.088713,50.107641,8.671231,0101000020E61000006D1FF296AB572140B85A272EC70D4940
3598841,1360,18102156,Shared room,,Frankfurt,,Sachsenhausen-N.,113,4.5,2,1.0,,40.0,,2017-06-22 15:39:32.085838,50.097908,8.681102,0101000020E6100000FA7ABE66B95C21402502D53F880C4940
19189595,1360,57352471,Shared room,,Frankfurt,,Dornbusch,0,0.0,2,1.0,,40.0,,2017-06-22 15:39:32.083303,50.138361,8.675781,0101000020E610000030849CF7FF5921405C0531D0B5114940
11923726,1360,17115535,Shared room,,Frankfurt,,Gallus,19,5.0,2,1.0,,36.0,,2017-06-22 15:39:32.080875,50.107779,8.641742,0101000020E610000074F04C68924821400919C8B3CB0D4940
19344527,1360,61951710,Shared room,,Frankfurt,,Praunheim,0,0.0,3,1.0,,35.0,,2017-06-22 15:39:32.073210,50.140176,8.625105,0101000020E6100000D52137C30D40214090D78349F1114940
17726055,1360,85175783,Shared room,,Frankfurt,,Westend-Süd,0,0.0,1,1.0,,35.0,,2017-06-22 15:39:32.068818,50.111531,8.66125,0101000020E6100000C3F5285C8F522140BEBED6A5460E4940
19269882,1360,8126342,Shared room,,Frankfurt,,Sachsenhausen-N.,0,0.0,1,1.0,,26.0,,2017-06-22 15:39:32.066383,50.098676,8.685468,0101000020E6100000B8E864A9F55E21403673486AA10C4940
17619292,1360,117595008,Shared room,,Frankfurt,,Sachsenhausen-N.,11,5.0,1,1.0,,35.0,,2017-06-22 15:39:32.058676,50.107257,8.68871,0101000020E610000038DBDC989E6021402FA2ED98BA0D4940
11193978,1360,58284106,Shared room,,Frankfurt,,Griesheim,36,5.0,1,1.0,,32.0,,2017-06-22 15:39:32.056496,50.09121,8.609852,0101000020E6100000E6CC76853E382140B988EFC4AC0B4940
5280348,1360,27334525,Shared room,,Frankfurt,,Niederrad,190,4.5,1,1.0,,22.0,,2017-06-22 15:39:32.053528,50.0901,8.640899,0101000020E61000000514EAE9234821404FAF9465880B4940
18541084,1360,25274015,Shared room,,Frankfurt,,Gallus,15,5.0,1,1.0,,35.0,,2017-06-22 15:39:32.051287,50.100104,8.638092,0101000020E6100000B0AD9FFEB346214072193735D00C4940
17994949,1360,81240794,Shared room,,Frankfurt,,Schwanheim,20,4.5,1,1.0,,21.0,,2017-06-22 15:39:32.048443,50.085526,8.593579,0101000020E61000004D2F3196E92F2140967A1684F20A4940
14484624,1360,23020706,Shared room,,Frankfurt,,Bockenheim,51,4.5,1,1.0,,33.0,,2017-06-22 15:39:32.045189,50.117156,8.635098,0101000020E61000009082A7902B452140DD43C2F7FE0E4940
5441248,1360,28223280,Entire home/apt,,Frankfurt,,Sachsenhausen-S.,0,0.0,6,3.0,,277.0,,2017-06-22 15:35:25.345087,50.089731,8.690305,0101000020E6100000D3872EA86F612140FC372F4E7C0B4940
7882321,1360,8535044,Entire home/apt,,Frankfurt,,Ostend,23,5.0,4,2.0,,95.0,,2017-06-22 15:34:16.277401,50.11854,8.709364,0101000020E610000064EB19C2316B214049A297512C0F4940
8948944,1360,46775204,Entire home/apt,,Frankfurt,,Niederrad,11,4.5,4,2.0,,173.0,,2017-06-22 15:33:46.183588,50.091717,8.652656,0101000020E61000008C135FED284E21405EBEF561BD0B4940
